,ID,commenterID,articleID,comment,likes,commentID,replyID,date,text,word_count,question_mark,exclamation_mark,start_digit,start_question,longest_word_len,avg_word_len,ratio_stopwords
278,5607,3393,274,"['dam', 'iencahill', 'i', '’', 'd', 'say', 'there', '’', 's', 'cobwebs', 'on', 'your', 'wallet']",144,9277514,9277502,4hours ago,"['dam', 'iencahill', 'say', 'cobweb', 'wallet']",9,0,0,0,0,9,13.0,0.4615
279,5608,3380,274,"['mattress', 'dick…', 'minding', 'the', '1', 'and', '10', 'bob', 'notes']",22,9277564,9277502,4hours ago,"['mattress', 'dick', 'mind', '10', 'bob', 'note']",9,0,0,0,0,8,9.0,0.2222
280,5609,3389,274,"['mattress', 'dick', 'he', 'tells', 'his', 'kids', 'when', 'the', 'ice', 'cream', 'van', 'plays', 'music', 'he', '’', 's', 'run', 'out', 'of', 'ice', 'cream']",9,9277590,9277502,4hours ago,"['mattress', 'dick', 'tell', 'kid', 'ice', 'cream', 'van', 'play', 'music', 'run', 'ice', 'cream']",19,0,0,0,0,8,21.0,0.381
281,5610,3394,274,"['it', '’', 's', 'like', 'the', 'scenes', 'from', 'toy', 'story', '3']",44,9277617,9277617,3hours ago,"['like', 'scene', 'toy', 'story', '3']",9,0,0,0,0,6,10.0,0.4
282,5611,3395,274,"['the', 'red', 'teddy', 'bear', 'looks', 'like', 'he', 'is', 'making', 'a', 'run', 'for', 'it']",32,9277594,9277594,4hours ago,"['red', 'teddy', 'bear', 'look', 'like', 'make', 'run']",13,0,0,0,0,6,13.0,0.4615
283,5612,3396,274,"['this', 'is', 'yesterday', '’', 's', 'news']",13,9277499,9277499,4hours ago,"['yesterday', 'news']",4,0,0,0,0,9,6.0,0.5
284,5613,3396,274,"['this', 'is', 'yesterday', 'news']",6,9277498,9277498,4hours ago,"['yesterday', 'news']",4,0,0,0,0,9,4.0,0.5
285,5614,3250,274,"['rachael', 'nicholson', 'it', '’', 's', 'today', '’', 's', 'news', 'for', 'me', 'hadn', '’', 't', 'seen', 'it']",109,9277507,9277498,4hours ago,"['rachael', 'nicholson', 'today', 'news', 'see']",10,0,0,0,0,9,16.0,0.5
286,5615,3343,274,"['deborah', 'blacoe', 'me', 'too']",36,9277520,9277498,4hours ago,"['deborah', 'blacoe']",4,0,0,0,0,7,4.0,0.5
287,5616,3397,274,"['is', 'it', 'possible', 'to', 'zoom', 'in', 'or', 'see', 'the', 'photos', 'seperately', 'i', 'can', 'do', 'neither', 'on', 'the', 'app', 'on', 'iphone']",6,9277533,9277533,4hours ago,"['possible', 'zoom', 'see', 'photo', 'seperately', 'neither', 'app', 'iphone']",20,1,0,0,0,10,20.0,0.6
288,5617,3380,274,"['keith', 'fay', 'click', 'on', 'photo', 'you', 'always', 'have', 'to', 'do', 'it', 'a', 'second', 'time', 'for', 'some', 'reason', 'then', 'zoom', 'that', 'works', 'on', 'a', 'samsung', 'anyway']",19,9277571,9277533,4hours ago,"['keith', 'fay', 'click', 'photo', 'always', 'second', 'time', 'reason', 'zoom', 'work', 'samsung', 'anyway']",25,0,0,0,0,7,25.0,0.52
289,5618,3398,274,"['cheap', 'wish', 'and', 'ali', 'express', 'purchases', 'no', 'doubt', 'buy', 'cheap', 'buy', 'twice']",8,9278047,9278047,54mins ago,"['cheap', 'wish', 'ali', 'express', 'purchase', 'doubt', 'buy', 'cheap', 'buy', 'twice']",12,0,0,0,0,9,12.0,0.1667
290,5619,3399,275,"['the', 'brexit', 'disaster', 'is', 'getting', 'into', 'full', 'finality', 'swing']",142,9277441,9277441,5hours ago,"['brexit', 'disaster', 'get', 'full', 'finality', 'swing']",9,0,0,0,0,8,9.0,0.3333
